Id,Predicted
1,1718
2,7888
3,6856
4,8333
5,8934
6,2933
7,7728
8,595
9,5786
10,8042
11,8742
12,3360
13,213
14,8107
15,6753
16,1172
17,5933
18,1668
19,8704
20,2564
21,6773
22,392
23,7264
24,4479
25,1062
26,3516
27,3229
28,3574
29,1846
30,1070
31,9704
32,8283
33,1172
34,3945
35,2868
36,8370
37,741
38,7763
39,8196
40,1143
41,5041
42,5844
43,7921
44,611
45,5433
46,9408
47,4372
48,7218
49,4920
50,9193
51,6955
52,5065
53,1172
54,7493
55,7276
56,2081
57,1112
58,741
59,8688
60,3543
61,1172
62,503
63,9389
64,8949
65,2978
66,5140
67,8107
68,6256
69,1479
70,8940
71,7350
72,4482
73,6997
74,6188
75,8610
76,7936
77,9513
78,7329
79,6754
80,873
81,4645
82,9891
83,3839
84,7561
85,1172
86,27
87,283
88,4321
89,2658
90,1781
91,69
92,4931
93,5162
94,4303
95,5246
96,5869
97,2602
98,7783
99,3357
100,8565
101,7808
102,3170
103,1172
104,9724
105,24
106,3869
107,4075
108,9193
109,489
110,6869
111,9527
112,6227
113,9756
114,3664
115,9692
116,7894
117,8610
118,213
119,6024
120,6773
121,9651
122,1172
123,4479
124,9206
125,611
126,2868
127,1172
128,1317
129,534
130,1172
131,7928
132,4186
133,7888
134,6188
135,9084
136,1172
137,9285
138,1369
139,7553
140,4652
141,3314
142,2474
143,5443
144,8271
145,5140
146,1426
147,1781
148,3201
149,8610
150,67
151,5273
152,6369
153,4800
154,143
155,9774
156,3900
157,2184
158,4925
159,7079
160,9098
161,626
162,6362
163,3471
164,4047
165,7888
166,7882
167,9932
168,6188
169,9880
170,1172
171,4444
172,7664
173,213
174,1804
175,1172
176,6684
177,1634
178,1995
179,3681
180,1113
181,9392
182,4114
183,1172
184,4469
185,2810
186,8025
187,1590
188,7026
189,4580
190,7025
191,6256
192,4693
193,3696
194,3738
195,2463
196,4268
197,1674
198,2341
199,1652
200,6188
201,578
202,9581
203,6599
204,1867
205,2136
206,1019
207,1172
208,3859
209,3240
210,9973
211,8165
212,6716
213,1930
214,7723
215,7728
216,9530
217,5042
218,5238
219,4143
220,4981
221,2565
222,357
223,1019
224,1625
225,5081
226,1532
227,7276
228,1019
229,4727
230,3979
231,8083
232,2911
233,6443
234,3500
235,7512
236,2607
237,1172
238,9388
239,1172
240,1019
241,1719
242,1407
243,1811
244,4188
245,6287
246,2719
247,3878
248,924
249,6224
250,6055
251,9418
252,3867
253,2115
254,6872
255,6557
256,2504
257,6193
258,6952
259,7276
260,3104
261,4968
262,2545
263,2043
264,8822
265,5589
266,299
267,6318
268,6931
269,1833
270,1172
271,4815
272,6261
273,7891
274,1502
275,152
276,8719
277,4569
278,4830
279,2016
280,4290
281,8591
282,9779
283,5576
284,3690
285,2719
286,4463
287,7561
288,7305
289,5763
290,7341
291,711
292,4836
293,9717
294,1611
295,6894
296,1172
297,7879
298,4267
299,1088
300,5041
301,7943
302,30
303,1172
304,7427
305,2725
306,2624
307,2886
308,177
309,9545
310,9397
311,7025
312,6583
313,319
314,1006
315,8942
316,3484
317,875
318,2719
319,2918
320,2780
321,5220
322,8738
323,7891
324,2393
325,5244
326,3887
327,3843
328,5713
329,9161
330,1673
331,1172
332,346
333,4065
334,558
335,2759
336,7017
337,8031
338,9750
339,8786
340,5548
341,5999
342,2266
343,1541
344,4106
345,3838
346,8937
347,503
348,4545
349,9335
350,6773
351,7563
352,3993
353,3764
354,9672
355,5600
356,5591
357,8347
358,9552
359,3714
360,3953
361,3714
362,185
363,2564
364,6903
365,6773
366,1628
367,8718
368,2434
369,5674
370,9184
371,319
372,7593
373,1826
374,5006
375,2375
376,9183
377,3927
378,7761
379,4743
380,6284
381,7453
382,6150
383,3417
384,4982
385,626
386,6302
387,4633
388,4168
389,6791
390,2101
391,5331
392,5140
393,1548
394,1781
395,1172
396,6188
397,7492
398,2826
399,3773
400,3768
401,5230
402,9418
403,1548
404,3066
405,7561
406,8634
407,8523
408,1164
409,3418
410,9973
411,613
