Id,Predicted
1,3477
2,3409
3,6492
4,2578
5,8297
6,2486
7,5634
8,6632
9,476
10,4637
11,3077
12,5844
13,1071
14,6269
15,5565
16,360
17,2913
18,8608
19,8032
20,8058
21,1411
22,5527
23,7647
24,8704
25,8250
26,6399
27,3185
28,8739
29,8558
30,2491
31,5015
32,7891
33,3152
34,2946
35,7487
36,13
37,4808
38,1561
39,3343
40,3250
41,6762
42,3819
43,5085
44,2989
45,6156
46,4770
47,3472
48,1986
49,4969
50,8329
51,2660
52,1420
53,3085
54,8459
55,9051
56,8628
57,6455
58,8744
59,2052
60,4563
61,2194
62,2667
63,13
64,8492
65,1275
66,2299
67,9176
68,8864
69,1509
70,6224
71,4914
72,2620
73,3289
74,3543
75,8119
76,4161
77,1491
78,3260
79,1876
80,6341
81,410
82,997
83,8479
84,9447
85,7264
86,5103
87,8930
88,322
89,7448
90,7305
91,9956
92,6834
93,5690
94,7652
95,2244
96,1769
97,9353
98,7295
99,9763
100,8791
101,450
102,3837
103,193
104,4105
105,8594
106,1113
107,450
108,5396
109,7505
110,3231
111,1171
112,4169
113,5588
114,1017
115,5201
116,5807
117,6030
118,8429
119,8840
120,3903
121,687
122,571
123,7125
124,5684
125,6082
126,3082
127,1171
128,3912
129,8428
130,13
131,5160
132,3132
133,5163
134,9203
135,4433
136,5628
137,9176
138,4262
139,5337
140,8654
141,4027
142,5181
143,3804
144,7647
145,3193
146,1810
147,177
148,8523
149,6768
150,8595
151,7504
152,536
153,825
154,5675
155,9710
156,13
157,1590
158,3066
159,7623
160,13
161,5524
162,120
163,3490
164,7745
165,7874
166,6602
167,277
168,5947
169,9186
170,13
171,13
172,2490
173,7537
174,9784
175,9786
176,3342
177,623
178,886
179,1509
180,6064
181,13
182,6474
183,8946
184,7836
185,8897
186,7685
187,8704
188,5646
189,8520
190,7162
191,5884
192,1017
193,4465
194,2041
195,1906
196,886
197,2021
198,7448
199,7794
200,687
201,8758
202,9048
203,7660
204,6129
205,3768
206,13
207,13
208,9556
209,3735
210,1613
211,5713
212,4709
213,8019
214,2408
215,1883
216,1027
217,7823
218,9955
219,6694
220,1011
221,13
