Id,Predicted
1,3477
2,8119
3,6492
4,8894
5,8297
6,1624
7,9222
8,8363
9,476
10,9390
11,7552
12,1624
13,1071
14,4897
15,5565
16,527
17,849
18,1698
19,391
20,9367
21,9051
22,25
23,7022
24,8704
25,8250
26,7412
27,3375
28,8739
29,5807
30,2491
31,1955
32,2734
33,3152
34,5747
35,7487
36,151
37,9286
38,1561
39,3023
40,8757
41,3738
42,3833
43,8683
44,2989
45,9139
46,6652
47,1281
48,7262
49,3400
50,8329
51,3064
52,1420
53,3085
54,4667
55,6376
56,7785
57,6455
58,8914
59,4974
60,2273
61,2460
62,4649
63,1380
64,7693
65,5854
66,4575
67,4986
68,5617
69,1509
70,2136
71,1663
72,4010
73,6898
74,3342
75,348
76,9468
77,7977
78,4539
79,1876
80,2587
81,4925
82,997
83,8479
84,5387
85,8824
86,1885
87,8930
88,4908
89,4699
90,9327
91,9956
92,7396
93,5057
94,757
95,1416
96,1769
97,9353
98,1644
99,9913
100,6958
101,7028
102,9142
103,886
104,9100
105,7679
106,8621
107,450
108,5396
109,7505
110,6617
111,9440
112,7048
113,5588
114,3730
115,5589
116,5110
117,7411
118,8429
119,3468
120,5141
121,8312
122,4191
123,8704
124,5684
125,6082
126,3082
127,4565
128,3912
129,4721
130,4472
131,6941
132,8486
133,2108
134,7676
135,8271
136,1600
137,9176
138,7076
139,8670
140,8654
141,4027
142,5181
143,3804
144,256
145,1698
146,9344
147,177
148,4149
149,6511
150,8595
151,7504
152,536
153,7991
154,6672
155,7249
156,6026
157,7302
158,3066
159,2221
160,4641
161,5524
162,9065
163,934
164,9398
165,3493
166,2378
167,8064
168,5345
169,9186
170,8931
171,611
172,5645
173,1524
174,9148
175,4539
176,2546
177,2802
178,6712
179,7736
180,8299
181,910
182,6882
183,9301
184,7836
185,8897
186,1978
187,2147
188,5646
189,113
190,1009
191,7086
192,2205
193,9271
194,9638
195,2757
196,8594
197,2484
198,7448
199,7794
200,6566
201,4947
202,8839
203,6073
204,9623
205,3768
206,4054
207,8931
208,6615
209,7226
210,1613
211,5713
212,4709
213,8019
214,4376
215,7909
216,3940
217,1611
218,7740
219,6785
220,3296
221,6463
222,27
223,4054
224,83
225,5246
226,5475
227,4646
228,4054
229,316
230,5668
231,2875
232,5618
233,5777
234,1165
235,1210
236,1518
237,404
238,7689
239,6870
240,4054
241,7272
242,2688
243,6142
244,6620
245,115
246,3013
247,4234
248,3968
249,7743
250,2016
251,2974
252,3499
253,7125
254,2341
255,6469
256,9513
257,5712
258,4709
259,5654
260,340
261,5497
262,933
263,6599
264,3368
265,7797
266,5447
267,2220
268,6951
269,1117
270,5519
271,6183
272,1257
273,3366
274,9211
275,6022
276,1523
277,5248
278,5281
279,6703
280,827
281,8599
282,169
283,1387
284,4054
285,2067
286,6337
287,9248
288,4099
289,3234
290,933
291,1184
292,811
293,8902
294,4480
295,2989
296,8931
297,5344
298,325
299,5163
300,2995
301,5121
302,9
303,6460
304,8033
305,3649
306,6281
307,7607
308,5211
309,8778
310,290
311,6006
312,3708
313,889
