Id,Predicted
1,1259
2,3409
3,6492
4,57
5,8297
6,1624
7,5634
8,5396
9,476
10,4914
11,3196
12,1624
13,7684
14,4897
15,5565
16,2192
17,921
18,5004
19,3794
20,8058
21,6183
22,25
23,7022
24,608
25,1134
26,4982
27,1259
28,8739
29,8551
30,2491
31,3802
32,4843
33,5121
34,2274
35,7487
36,151
37,4991
38,1561
39,9218
40,4767
41,4044
42,3833
43,5815
44,2989
45,6156
46,8019
47,4476
48,6738
49,2663
50,8329
51,5140
52,1420
53,3085
54,6534
55,1152
56,7557
57,6455
58,7224
59,4974
60,8872
61,8878
62,285
63,7036
64,6442
65,5854
66,2299
67,4986
68,5729
69,1509
70,2136
71,1663
72,4821
73,5424
74,6607
75,3761
76,1259
77,1624
78,4539
79,1876
80,3574
81,6425
82,5948
83,8479
84,3738
85,1901
86,1885
87,8930
88,2835
89,7810
90,753
91,9956
92,1029
93,4914
94,1291
95,57
96,1291
97,9353
98,1377
99,7924
100,6958
101,5412
102,8266
103,5180
104,4961
105,3176
106,8621
107,450
108,5396
109,7505
110,9796
111,7479
112,5133
113,5588
114,2546
115,5589
116,2130
117,5180
118,8429
119,8840
120,5141
121,9214
122,6605
123,3755
124,5684
125,4062
126,3082
127,1152
128,3912
129,6500
130,4472
131,4471
132,2103
133,6558
134,7866
135,2686
136,1265
137,9176
138,7076
139,3023
140,8654
141,4027
142,5181
143,1291
144,256
145,5333
146,9351
147,9693
148,1004
149,6511
150,5098
151,7504
152,8285
153,3688
154,7806
155,7076
156,6026
157,1291
158,3066
159,2221
160,5396
161,5524
162,4984
163,934
164,9083
165,4961
166,2378
167,3128
168,4701
169,6102
170,9214
171,13
172,1291
173,608
174,753
175,8461
176,2717
177,9745
178,1897
179,5815
180,3472
181,910
182,6882
183,1134
184,7984
185,8897
186,608
187,3172
188,5646
189,7104
190,5141
191,5140
192,2205
193,4465
194,9270
195,5628
196,9953
197,1239
198,2584
199,6504
200,7884
201,4947
202,4637
203,7982
204,3794
205,3768
206,13
207,7734
208,5180
209,3936
210,1613
211,5713
212,4709
213,8019
214,2408
215,7909
216,5140
217,3013
218,8534
219,8599
220,4273
221,6463
222,27
223,13
224,5857
225,5246
226,316
227,1017
228,13
229,2627
230,597
231,608
232,3780
233,7513
234,7841
235,9218
236,3995
237,608
238,8464
239,8782
240,13
241,4565
242,2688
243,6077
244,5180
245,115
246,3574
247,6024
248,3968
249,7743
250,4516
251,8558
252,1163
253,307
254,2341
255,3498
256,7802
257,4766
258,5815
259,9050
260,6183
261,1134
262,5357
263,6599
264,1993
265,608
266,6156
267,608
268,7466
269,9853
270,2803
271,6183
272,1257
273,3366
274,7097
275,3761
276,9963
277,6024
278,9057
279,6703
280,6024
281,2831
282,3574
283,1291
284,8739
285,1516
286,4562
287,5930
288,4099
289,3234
290,933
291,1184
292,8496
293,608
294,8230
295,6455
296,2205
297,5180
298,1307
299,5396
300,2514
301,5121
302,1973
303,2068
304,1727
305,3649
306,5180
307,608
308,7402
309,293
310,4240
311,6006
312,5140
313,9970
314,1134
315,1291
316,9287
317,4446
318,1259
319,1259
320,3854
321,7982
322,985
323,7906
324,2459
325,3574
326,5046
327,2470
328,4585
329,8276
330,7823
331,7355
332,8878
333,7254
334,7894
335,6068
336,8432
337,5729
338,7170
339,457
340,8494
341,2986
342,6564
343,7959
344,9548
345,2451
346,6871
347,8423
348,865
349,7775
350,6207
351,5395
352,5965
353,476
354,8233
355,883
356,9096
357,6558
358,3013
359,6268
360,8478
361,2205
362,7557
363,1163
364,6024
365,5517
366,7312
367,2000
368,9312
369,6156
370,4807
371,5588
372,1024
373,5258
374,6191
375,8176
376,3120
377,6272
378,9745
379,3933
380,1118
381,3003
382,3558
383,1291
384,4878
385,9175
386,6558
387,2197
388,5888
389,5904
390,1541
391,6128
392,2450
393,5180
394,1426
395,5140
