Id,Predicted
1,3013
2,6605
3,6492
4,1868
5,8297
6,1624
7,9437
8,5396
9,476
10,2481
11,5628
12,1624
13,4948
14,839
15,5565
16,3574
17,1896
18,9219
19,3794
20,1113
21,3574
22,25
23,7647
24,8704
25,6024
26,5857
27,8599
28,8739
29,3729
30,2491
31,2000
32,7935
33,3152
34,2274
35,5076
36,6024
37,5128
38,1561
39,9218
40,8041
41,2481
42,5857
43,7935
44,2989
45,6156
46,3574
47,7479
48,8064
49,4850
50,8329
51,1113
52,8785
53,3085
54,6024
55,9148
56,4476
57,6455
58,1507
59,7693
60,8872
61,5857
62,6024
63,9051
64,4240
65,1510
66,4575
67,3658
68,5140
69,4948
70,2136
71,7466
72,7419
73,7823
74,5778
75,3761
76,6024
77,834
78,7479
79,925
80,6024
81,1868
82,4106
83,1510
84,4490
85,6024
86,5857
87,850
88,895
89,1868
90,7866
91,9956
92,7505
93,4974
94,1966
95,4922
96,6605
97,9353
98,4870
99,3574
100,1291
101,5412
102,3574
103,5004
104,5098
105,1051
106,1113
107,450
108,5396
109,7505
110,6558
111,8599
112,6428
113,5588
114,7466
115,1350
116,1291
117,2481
118,8429
119,3574
120,6354
121,1510
122,2481
123,5628
124,9953
125,3413
126,8523
127,5857
128,3912
129,839
130,7362
131,5160
132,2481
133,7466
134,5004
135,7505
136,5857
137,6841
138,7076
139,3574
140,8654
141,4027
142,5181
143,6156
144,7647
145,5778
146,5857
147,1868
148,3023
149,3601
150,3220
151,7125
152,8872
153,8599
154,6024
155,7076
156,7362
157,1291
158,6024
159,6492
160,6492
161,5524
162,7935
163,934
164,2481
165,3558
166,3558
167,3128
168,4974
169,2012
170,1510
171,7362
172,6024
173,7935
174,5180
175,1171
176,2717
177,9745
178,1291
179,7935
180,1966
181,7845
182,7479
183,1134
184,7479
185,8897
186,6534
187,5857
188,9638
189,7935
190,3220
191,5140
192,2205
193,6096
194,5238
195,2876
196,2481
197,7125
198,7448
199,1416
200,4253
201,176
202,5424
203,5180
204,9219
205,3768
206,7362
207,1748
208,934
209,3936
210,7935
211,1510
212,4709
213,8019
214,5815
215,7557
216,1291
217,6306
218,7036
219,8599
220,4565
221,6492
222,9974
223,7362
224,5857
225,5246
226,4974
227,5004
228,7362
229,7487
230,2529
231,7607
232,4922
233,5140
234,2686
235,9218
236,1628
237,1134
238,8599
239,5004
240,7362
241,3743
242,5857
243,7352
244,1291
245,115
246,7935
247,6024
248,3007
249,7743
250,8326
251,4667
252,5439
253,1463
254,4948
255,1590
256,7802
257,2594
258,4709
259,503
260,5238
261,536
262,536
263,2989
264,1868
265,8905
266,8599
267,5180
268,7466
269,1510
270,5519
271,6183
272,934
273,6024
274,7181
275,1259
276,1523
277,6024
278,7982
279,6703
280,6024
281,7479
282,6024
283,7017
284,2844
285,9219
286,1868
287,1218
288,1510
289,3234
290,933
291,1184
292,8152
293,608
294,9219
295,4948
296,5140
297,6354
298,3936
299,1588
300,1291
301,5121
302,1523
303,5857
304,3849
305,7957
306,5180
307,3574
308,6301
309,7736
310,4240
311,6006
312,5140
313,5588
314,9219
315,1291
316,4807
317,6650
318,5588
319,5439
320,3854
321,5439
322,9219
323,9402
324,6024
325,3574
326,5439
327,5891
328,6492
329,7505
330,4427
331,8642
332,8878
333,7254
334,8050
335,7362
336,1507
337,543
338,4562
339,5140
340,8494
341,2986
342,834
343,4974
344,8642
345,4429
346,6871
347,1113
348,2466
349,7775
350,5004
351,969
352,3048
353,8599
354,8233
355,883
356,1510
357,6558
358,4948
359,4948
360,4769
361,6024
362,7736
363,1901
364,6024
365,5517
366,1760
367,2000
368,6211
369,9756
370,4807
371,5588
372,7419
373,5258
374,7036
375,8176
376,4974
377,8834
378,9745
379,3933
380,7690
381,5412
382,6073
383,5180
384,4878
385,9592
386,6024
387,3995
388,7505
389,6354
390,5439
391,3574
392,4974
393,6354
394,9778
395,9048
396,934
397,4974
398,8077
399,7823
400,2192
401,2481
402,2873
403,9218
404,5180
405,1259
406,3082
407,9889
408,1868
409,7736
410,1669
411,6024
412,7935
413,2038
414,2463
415,1966
416,6549
417,6638
418,7650
419,4948
420,4914
421,4878
422,1259
423,6024
424,7254
425,9219
426,3574
427,4716
428,687
429,5857
430,536
431,3171
432,7362
433,1063
434,5439
435,3951
436,3574
437,5747
438,1113
439,5519
440,8666
441,6354
442,5523
443,5524
444,608
445,5060
446,164
447,6372
448,5628
449,9914
450,9048
451,3439
452,5046
453,5180
454,543
455,7178
456,3574
457,6024
458,8654
459,6871
460,3013
461,2505
462,2432
463,3776
464,4427
465,8250
466,3013
467,4974
468,8523
469,5238
470,7935
471,6024
472,6354
473,8865
474,1134
475,7995
476,1171
477,6455
478,5439
479,7125
480,6534
481,2188
482,7935
483,8193
484,1614
485,883
486,1510
487,4667
488,5519
489,9778
490,5523
491,3658
492,9219
493,5857
494,3634
495,4878
496,5439
497,1450
498,1291
499,6156
500,4795
501,1134
502,1628
503,2481
504,5140
505,2511
506,3294
507,8494
508,3013
509,8599
510,5857
511,5519
512,7996
513,1868
514,9568
515,6882
516,2296
517,6198
518,8834
519,5628
520,6024
521,7736
522,5419
523,9974
524,6024
525,8654
526,7036
527,8931
528,5519
529,9778
530,9219
531,5951
532,3490
533,5628
534,5857
535,7736
536,7957
537,1510
538,4858
