Id,Predicted
1,3477
2,8316
3,6492
4,8894
5,8297
6,2486
7,3017
8,6318
9,476
10,9390
11,7552
12,1624
13,1071
14,1168
15,5565
16,6509
17,2913
18,1698
19,7189
20,2673
21,6913
22,5678
23,7647
24,8704
25,8250
26,2788
27,3185
28,8739
29,924
30,2491
31,1051
32,7754
33,3152
34,2946
35,7487
36,8562
37,5945
38,1561
39,7479
40,1393
41,6762
42,3833
43,3807
44,2989
45,6156
46,4770
47,1281
48,2511
49,4063
50,8329
51,5264
52,1420
53,3085
54,3940
55,7900
56,2172
57,6455
58,8744
59,7478
60,7547
61,2460
62,2667
63,7036
64,6354
65,5854
66,5148
67,5773
68,8439
69,1509
70,2136
71,4914
72,3086
73,6898
74,3342
75,7625
76,5807
77,1491
78,6451
79,1876
80,28
81,6425
82,7929
83,8479
84,6541
85,7264
86,1885
87,8930
88,4485
89,7810
90,8144
91,9956
92,7396
93,5057
94,8119
95,6817
96,1769
97,9353
98,1644
99,5560
100,2868
101,83
102,8266
103,886
104,5968
105,8594
106,5800
107,450
108,5396
109,7505
110,2504
111,7479
112,5340
113,5588
114,3730
115,5201
116,6762
117,6215
118,8429
119,3468
120,3903
121,687
122,9729
123,7125
124,5684
125,6082
126,3082
127,4841
128,3912
129,4895
130,13
131,5160
132,3132
133,8132
134,6964
135,2131
136,1600
137,9176
138,3890
139,15
140,8654
141,4027
142,5181
143,2261
144,256
145,6198
146,1810
147,1735
148,8523
149,6768
150,8595
151,7504
152,536
153,6075
154,5675
155,4539
156,1804
157,1590
158,3066
159,2341
160,5396
161,5524
162,9065
163,6218
164,7866
165,2121
166,5359
167,8064
168,2167
169,9186
170,13
171,13
172,2490
173,7537
174,9148
175,9646
176,4833
177,1732
178,6712
179,7736
180,6465
181,800
182,3767
183,8946
184,7836
185,8897
186,4296
187,3172
188,5646
189,113
190,24
191,5884
192,3339
193,7930
194,8259
195,1906
196,8594
197,5527
198,9981
199,9210
200,1626
201,8758
202,3743
203,7660
204,6129
205,3768
206,13
207,13
208,2741
209,5264
210,1613
211,5713
212,4709
213,8019
214,2692
215,7909
216,2396
217,1611
218,8877
219,6694
220,4273
221,6040
222,27
223,13
224,9925
225,5246
226,8658
227,5181
228,13
229,316
230,8058
231,2875
232,9856
233,7690
234,9467
235,1210
236,811
237,6671
238,3806
239,3833
240,13
241,7272
242,173
243,6077
244,6620
245,115
246,7478
247,4234
248,3968
249,7743
250,2136
251,2974
252,4712
253,7125
254,2341
255,7281
256,7802
257,5859
258,4709
259,7907
260,5655
261,1896
262,6763
263,6599
264,3368
265,5208
266,6156
267,2220
268,73
269,9853
270,5519
271,6183
272,3706
273,3366
274,7181
275,3414
276,9963
277,6285
278,9989
279,6703
280,6937
281,8089
282,7466
283,7017
284,7834
285,5439
286,4562
287,9248
288,4099
289,3234
