Id,Predicted
1,7935
2,4160
3,6492
4,8894
5,8297
6,1624
7,9222
8,5396
9,476
10,8788
11,640
12,1624
13,1071
14,4897
15,5565
16,331
17,8494
18,8671
19,391
20,1113
21,9225
22,25
23,7022
24,8704
25,8250
26,2788
27,3375
28,8739
29,924
30,2491
31,1051
32,8010
33,3152
34,5628
35,7487
36,151
37,7036
38,510
39,3023
40,8757
41,3738
42,3833
43,8683
44,2989
45,6156
46,4467
47,9048
48,4332
49,3400
50,8329
51,7557
52,1420
53,3085
54,1992
55,7900
56,2172
57,6455
58,8914
59,4974
60,3234
61,7531
62,2667
63,7036
64,1491
65,5854
66,4575
67,4986
68,2439
69,1509
70,2136
71,1663
72,4010
73,6898
74,3342
75,3761
76,2477
77,9014
78,4539
79,1876
80,1523
81,6425
82,267
83,8479
84,6541
85,7264
86,1885
87,8930
88,5857
89,7810
90,9327
91,9956
92,7396
93,5057
94,757
95,2244
96,1291
97,9353
98,7295
99,4816
100,6958
101,3472
102,3837
103,8150
104,5004
105,7679
106,1113
107,450
108,5396
109,7505
110,4618
111,9440
112,4169
113,5588
114,2546
115,5589
116,503
117,1387
118,8429
119,8840
120,3903
121,648
122,7810
123,57
124,5684
125,6082
126,8523
127,4565
128,3912
129,1269
130,4472
131,4471
132,2339
133,3816
134,1624
135,7840
136,1265
137,9176
138,1207
139,8670
140,8654
141,4027
142,5181
143,6156
144,256
145,6285
146,9351
147,5710
148,1004
149,6511
150,8595
151,7504
152,536
153,825
154,4865
155,7076
156,6026
157,5333
158,3066
159,2221
160,4641
161,5524
162,9065
163,3490
164,9398
165,3422
166,2378
167,3128
168,9579
169,9186
170,13
171,13
172,5645
173,4393
174,4911
175,7832
176,2717
177,2802
178,1897
179,5424
180,3472
181,2930
182,3755
183,1307
184,7836
185,8897
186,1356
187,5901
188,5646
189,3741
190,5141
191,5140
192,9351
193,4465
194,9638
195,5628
196,8594
197,7012
198,7448
199,24
200,9800
201,4947
202,9529
203,6073
204,9623
205,3768
206,13
207,13
208,6615
209,6735
210,1613
211,5713
212,4709
213,8019
214,2692
215,8064
216,5219
217,3403
218,7740
219,6073
220,4273
221,6463
222,27
223,13
224,1980
225,5246
226,316
227,5181
228,13
229,2627
230,3982
231,2875
232,6064
233,7260
234,9467
235,1210
236,4062
237,6671
238,8523
239,6870
240,13
241,7272
242,2688
243,6077
244,6620
245,115
246,4486
247,4234
248,1614
249,7743
250,4516
251,2974
252,6455
253,7125
254,2341
255,5831
256,7802
257,2594
258,4709
259,5654
260,5655
261,676
262,7323
263,6599
264,3368
265,4583
266,6156
267,1509
268,7209
269,1117
270,5519
271,6183
272,1257
273,3366
274,8061
275,2809
276,9963
277,536
278,9989
279,6703
280,9554
281,8599
282,7466
283,608
284,8739
285,4383
286,4562
287,9248
288,4099
289,3234
290,933
291,1184
292,5181
293,9745
294,8230
295,3566
296,13
297,5344
298,2327
299,5140
300,3558
301,5121
302,3704
303,4443
304,8033
305,3649
306,6281
307,852
308,7402
309,8778
310,8349
311,6006
312,5140
313,889
314,2986
315,1291
316,3085
317,4446
318,4149
319,4870
320,3854
321,5166
322,985
323,7906
324,1808
325,2295
326,5046
327,9914
328,9554
329,1027
330,1484
331,13
332,8878
333,7254
334,7894
335,6068
336,8432
337,9949
338,7170
339,5357
340,8494
341,2986
342,5147
343,7959
344,1441
345,2233
346,6967
347,8331
348,4679
349,7775
350,986
351,5395
352,5965
353,476
354,4232
355,883
356,1510
357,4339
358,7120
359,4484
360,8478
361,8138
362,7557
363,3729
364,9406
365,4429
366,8012
367,2000
368,9312
369,4480
370,5823
371,5588
372,4621
373,5258
374,9038
375,8176
376,3729
377,9472
378,6636
379,3933
380,3135
381,8518
382,1986
383,5815
384,2405
385,8378
386,3997
387,2197
388,713
389,2678
390,9853
391,2280
392,273
393,6491
394,1090
395,4798
396,4165
397,8244
398,8077
399,7393
400,8687
401,3464
402,2873
403,1210
404,3833
405,1259
406,7320
407,9889
408,2484
409,1628
410,3220
411,7362
412,1516
413,2038
414,5517
415,3313
416,4597
417,2434
418,9014
419,2593
420,1961
421,9042
422,8230
423,2726
424,7254
425,9951
426,7346
427,4716
428,4087
429,8530
430,7566
431,8130
432,13
433,1063
434,7720
435,3951
436,6596
437,2493
438,416
439,2129
440,8666
441,6725
442,182
443,3534
444,1148
445,4182
446,2306
447,6372
448,8276
449,582
450,3082
451,3439
452,5046
453,2428
454,1643
455,8363
456,1509
457,6826
458,5671
459,4808
460,3013
461,2505
462,1418
463,820
464,1484
465,3747
466,1161
467,6211
468,8523
469,6183
470,6164
471,1427
472,1064
473,8865
474,8901
475,7995
476,3989
477,4974
478,5424
479,2670
480,3738
481,2188
482,6605
483,8193
484,1614
485,925
486,7247
487,8551
488,6763
489,4062
490,4485
491,7097
492,1307
493,1019
494,3634
495,2351
496,1420
497,7178
498,5748
499,9166
500,1717
501,995
502,5756
503,7189
504,5140
505,8601
506,2474
507,8494
508,9935
509,3780
510,4661
511,8460
512,7996
513,3754
514,1386
515,6882
516,4656
517,8142
518,8834
519,9645
520,8230
521,6538
522,2505
523,4337
524,4770
525,886
526,7036
527,1523
528,6113
529,9778
530,356
531,8336
532,3490
533,887
534,6384
535,3364
536,4365
537,1121
538,4858
539,7419
540,4991
541,8130
542,1626
543,6534
544,3779
545,9745
546,7647
547,7549
548,346
549,1350
550,3601
551,4160
552,8104
553,9160
554,823
555,1603
556,6150
557,8494
558,5857
559,6882
560,2983
561,6498
562,861
563,6636
564,9516
565,6743
566,2627
567,7936
568,4412
569,6110
570,390
571,3101
572,6043
573,6096
574,5662
575,6492
576,3155
577,9592
578,4928
579,7823
580,1650
581,9604
582,1973
583,6230
584,4219
585,435
586,4270
587,7185
588,2008
589,83
590,8714
591,2221
592,4090
593,2466
594,9574
595,8363
596,9783
597,8032
598,4426
599,1676
600,373
601,42
602,7693
603,9377
604,1731
605,5865
606,4892
607,4639
608,608
609,7802
610,7312
611,6534
612,213
613,6096
614,5424
615,3151
616,8828
617,6169
618,301
619,640
620,8534
621,3695
622,2938
623,2681
624,506
625,2238
626,8494
627,2970
628,9521
629,6638
630,3413
631,1259
632,6306
633,6278
634,8821
635,753
636,6288
637,4972
638,6669
639,4075
640,9554
641,8172
642,1143
643,3601
644,13
645,8750
646,1699
647,8714
648,380
649,4562
650,2876
651,4486
652,2579
653,811
654,3104
655,9077
656,2261
657,3794
658,8776
659,391
660,6501
661,7776
662,8931
663,5180
664,9136
665,2432
666,8857
667,2717
668,6183
669,1317
670,3013
671,4331
672,4005
673,4564
674,2579
675,7821
676,5986
677,8062
678,9745
679,4870
680,3291
681,1163
682,5424
683,2466
684,7620
685,8839
686,518
687,2627
688,15
689,539
690,5977
691,3101
692,3097
693,510
694,9554
695,5461
696,8689
697,3497
698,7880
699,1680
700,6024
701,1726
702,4910
703,9301
704,9606
705,6455
706,3016
707,8118
708,17
709,7130
710,8359
711,8001
712,3217
713,1057
714,6759
715,5149
716,9444
717,333
718,4485
719,5140
720,8425
721,8231
722,597
723,5632
724,1241
725,8336
726,2481
727,5258
728,3013
729,6493
730,5720
731,6183
732,8523
733,1665
734,6626
735,4429
736,2110
737,4018
738,2581
739,2581
740,8152
741,5396
742,8055
743,4575
744,288
745,6354
746,4013
747,2081
748,6028
749,8282
750,4729
751,3559
752,7703
753,8574
754,8547
755,207
756,4622
757,7168
758,7603
759,8868
760,1972
761,9892
762,2343
763,4575
764,4177
765,3457
766,9353
767,494
768,6158
769,1778
770,9193
771,3484
772,3590
773,9831
774,9269
775,8767
776,2107
777,7352
778,9847
779,510
780,1251
781,1019
782,3413
783,1045
784,6831
785,893
786,1326
787,3666
788,7393
789,8739
790,7025
791,2986
792,5761
793,4911
794,6870
795,7051
796,9259
797,455
798,4914
799,5588
800,8960
801,6871
802,6803
803,5040
804,6637
805,5896
806,7906
807,1040
808,1488
809,5141
810,3468
811,5086
812,9863
813,1966
814,3002
815,5102
816,6608
817,1222
818,7903
819,811
820,9048
821,9199
822,5519
823,6455
824,6366
825,1886
826,7142
827,4901
828,7665
829,1275
830,7211
831,8498
832,7076
833,2855
834,8617
835,4562
836,8683
837,7200
838,3989
839,2463
840,5857
