Id,Predicted
1,691
2,544
3,6492
4,2378
5,8297
6,1624
7,1130
8,5396
9,476
10,9796
11,5954
12,1624
13,7684
14,9050
15,5565
16,3574
17,7646
18,9984
19,8865
20,8180
21,354
22,308
23,1613
24,8704
25,1134
26,1310
27,1205
28,8739
29,9351
30,8774
31,1051
32,5217
33,3152
34,1463
35,899
36,151
37,8744
38,3201
39,9218
40,2108
41,4455
42,3833
43,3807
44,9775
45,4455
46,2707
47,4761
48,1360
49,2036
50,4391
51,5264
52,3377
53,3148
54,8180
55,1172
56,6849
57,6455
58,8744
59,1183
60,8872
61,5846
62,3192
63,6722
64,1920
65,1510
66,4575
67,4986
68,3324
69,5258
70,5131
71,7335
72,9050
73,8159
74,7652
75,2138
76,8180
77,9074
78,454
79,8538
80,9424
81,6425
82,267
83,2795
84,4490
85,8539
86,8180
87,8930
88,687
89,9629
90,6491
91,9956
92,4684
93,5153
94,4648
95,4922
96,1941
97,6769
98,1644
99,7242
100,3432
101,5412
102,5070
103,9294
104,8159
105,5274
106,300
107,450
108,5396
109,5872
110,691
111,3187
112,9294
113,1260
114,3730
115,5873
116,2668
117,691
118,8429
119,8602
120,4946
121,1510
122,3301
123,8704
124,5557
125,6248
126,407
127,454
128,3912
129,7483
130,6295
131,6722
132,7001
133,3128
134,716
135,9334
136,1600
137,5857
138,7202
139,3574
140,8654
141,185
142,5181
143,7631
144,4680
145,3193
146,7841
147,8539
148,4796
149,6366
150,3790
151,2426
152,3983
153,4296
154,8180
155,9753
156,6722
157,691
158,3066
159,2133
160,6219
161,5524
162,8941
163,9541
164,3581
165,7726
166,2054
167,3128
168,1510
169,9186
170,1510
171,6722
172,4789
173,2341
174,454
175,8461
176,2717
177,4236
178,9058
179,8180
180,6262
181,7758
182,7479
183,691
184,9757
185,8605
186,4296
187,2128
188,4229
189,407
190,7579
191,9831
192,5674
193,691
194,9074
195,7631
196,603
197,8180
198,2164
199,650
200,1521
201,4947
202,1698
203,4907
204,1188
205,3768
206,6722
207,9294
208,755
209,6245
210,1613
211,5713
212,1051
213,8019
214,2692
215,3301
216,7844
217,2761
218,4790
219,7982
220,1131
221,4211
222,6452
223,6722
224,7551
225,5246
226,2114
227,7065
228,6722
229,9100
230,3644
231,7607
232,5546
233,5777
234,2474
235,2717
236,7246
237,1134
238,976
239,8782
240,6722
241,8868
242,2688
243,8180
244,8416
245,115
246,1414
247,8180
248,8754
249,1293
250,2016
251,7171
252,5439
253,691
254,976
255,3498
256,7707
257,8809
258,153
259,691
260,9074
261,9550
262,4687
263,6599
264,2422
265,7710
266,7335
267,6025
268,7684
269,1510
270,7506
271,6183
272,934
273,3366
274,7181
275,4406
276,6140
277,1005
278,8180
279,7195
280,6047
281,4644
282,8180
283,7017
284,8180
285,1188
286,5920
287,1172
288,1510
289,6722
290,933
291,7260
292,1188
293,4246
294,6688
295,1796
296,8965
297,1679
298,1275
299,4648
300,8744
301,5121
302,1972
303,2567
304,7631
305,5899
306,9294
307,7607
308,2707
309,1706
310,5811
311,83
312,5793
313,8758
314,5695
315,4922
316,7124
317,6449
318,4507
319,1259
320,3173
321,5674
322,985
323,1454
324,952
325,3342
326,8534
327,5891
328,236
329,6357
330,4427
331,9225
332,2343
333,7144
334,7894
335,2206
336,4830
337,8720
338,3175
339,6490
340,181
341,6167
342,1849
343,3907
344,9424
345,2233
346,5400
347,5361
348,1510
349,7772
350,407
351,8473
352,5965
353,199
354,3024
355,883
356,9096
357,3152
358,7631
359,6268
360,8965
361,2343
362,9214
363,8180
364,5674
365,5517
366,9661
367,5191
368,9312
369,6852
370,3623
371,5588
372,6366
373,5258
374,6667
375,4687
376,1077
377,1486
378,6636
379,2717
380,7525
381,5412
382,2443
383,9058
384,7118
385,8180
386,5130
387,1849
388,713
389,4912
390,1541
391,1868
392,6047
393,4687
394,1090
395,6328
396,5265
397,8244
398,8077
399,6262
400,7195
401,5205
402,5465
403,9703
404,3833
405,3152
406,4022
407,9889
408,1868
409,7551
410,8170
411,8180
412,3724
413,2038
414,9312
415,9294
416,8289
417,8527
418,331
419,2593
420,4832
421,117
422,1259
423,7646
424,7197
425,3574
426,7017
427,4716
428,4087
429,216
430,3152
431,3171
432,6722
433,1063
434,181
435,3951
436,4507
437,5747
438,2500
439,3539
440,8666
441,454
442,2691
443,4109
444,2740
445,2206
446,9293
447,6372
448,1100
449,9914
450,8652
451,3776
452,8204
453,8311
454,2978
455,5848
456,6508
457,8180
458,8654
459,3128
460,9424
461,5776
462,2444
463,820
464,4427
465,3235
466,7260
467,6211
468,6722
469,282
470,8605
471,1843
472,1064
473,8865
474,8272
475,7995
476,9472
477,7335
478,5153
479,2670
480,5899
481,2188
482,5513
483,8193
484,1614
485,1508
486,5100
487,2760
488,7640
489,648
490,1450
491,5899
492,5346
493,3433
494,8054
495,691
496,282
497,1450
498,5292
499,3724
500,2038
501,1134
502,8672
503,3581
504,1215
505,9294
506,3294
507,7646
508,6633
509,4406
510,9283
511,3152
512,3760
513,2264
514,1386
515,2038
516,2296
517,1511
518,8834
519,7631
520,1261
521,4507
522,5419
523,4337
524,7576
525,5899
526,3949
527,308
528,7144
529,9778
530,691
531,6883
532,4096
533,187
534,1326
535,4126
536,3447
537,1510
538,4858
539,6564
540,7532
541,8690
542,3152
543,8809
544,7777
545,6636
546,2042
547,691
548,300
549,6832
550,6908
551,2164
552,8104
553,4953
554,934
555,1603
556,6150
557,4239
558,5857
559,8180
560,4696
561,6514
562,9058
563,90
564,8134
565,8605
566,7857
567,9629
568,9857
569,5628
570,1353
571,4264
572,7635
573,2980
574,5662
575,7601
576,8652
577,2927
578,7876
579,4950
580,1603
581,5004
582,454
583,9876
584,9603
585,9050
586,3368
587,7185
588,687
589,8605
590,7513
591,411
592,5513
593,8755
594,454
595,4252
596,3985
597,4298
598,6403
599,1275
600,1599
601,9367
602,2260
603,9507
604,2038
605,9148
606,9629
607,8605
608,8605
609,7707
610,821
611,8354
612,8539
613,2343
614,691
615,1510
616,1521
617,3581
618,9676
619,1789
620,3228
621,7758
622,1105
623,2864
624,7935
625,5217
626,8930
627,5857
628,8896
629,1259
630,2443
631,1259
632,1510
633,5354
634,8605
635,8205
636,5439
637,4972
638,5656
639,7128
640,6908
641,9050
642,9598
643,3601
644,8605
645,6805
646,6522
647,5519
648,1026
649,3152
650,1043
651,6160
652,4349
653,1105
654,4570
655,9077
656,1105
657,9425
658,8776
659,9294
660,5361
661,1572
662,6838
663,8180
664,9136
665,1222
666,2046
667,2717
668,153
669,1317
670,8113
671,9216
672,3152
673,7393
674,1510
675,7821
676,267
677,9290
678,1225
679,8636
680,6956
681,1163
682,3152
683,7646
684,2925
685,1698
686,8244
687,9826
688,9831
689,2666
690,8872
691,5431
692,414
693,3201
694,5650
695,5073
696,8689
697,3497
698,593
699,2046
700,2993
701,1726
702,4493
703,1259
704,7684
705,8180
706,6632
707,3164
708,17
709,9876
710,7657
711,9025
712,3907
713,232
714,8605
715,354
716,1698
717,8796
718,8730
719,3301
720,8425
721,8319
722,7844
723,775
724,5401
725,6451
726,8180
727,5258
728,1105
729,2424
730,5720
731,1614
732,8180
733,3465
734,6626
735,4950
736,2110
737,1729
738,8632
739,9757
740,583
741,5396
742,4418
743,8180
744,288
745,5091
746,308
747,350
748,6028
749,8754
750,8754
751,3559
752,5482
753,1803
754,4083
755,6883
756,4622
757,952
758,9050
759,6722
760,1972
761,2687
762,2343
763,9831
764,4242
765,7119
766,5122
767,697
768,6366
769,7935
770,8531
771,6191
772,2275
773,9831
774,9269
775,1510
776,2
777,7352
778,9847
779,3201
780,7649
781,1171
782,2665
783,8889
784,4218
785,5596
786,3374
787,9077
788,7065
789,8739
790,1776
791,6540
792,87
793,8319
794,6452
795,7495
796,381
797,455
798,5528
799,5588
800,8960
801,7033
802,2717
803,3658
804,1259
805,913
806,9074
807,9160
808,1992
809,3201
810,454
811,2038
812,9225
813,6605
814,3002
815,8528
816,1471
817,6089
818,4296
819,8476
820,1188
821,1779
822,7506
823,6727
824,1976
825,4687
826,8508
827,7652
828,8835
829,5857
830,3091
831,5412
832,4490
833,9956
834,187
835,454
836,7461
837,5857
838,8667
839,4022
840,557
841,1171
842,9596
843,6092
844,9269
845,1486
846,7335
847,9294
848,2858
849,4083
850,9576
851,2624
852,4687
853,5187
854,4051
855,5929
856,9823
857,1190
858,2144
859,8704
860,3658
861,1898
862,2624
863,8134
864,691
865,3433
866,5524
867,1342
868,4855
869,3658
870,691
871,9404
872,4832
873,8309
874,2978
875,9918
876,7066
877,5412
878,6362
879,1222
880,3847
881,5191
882,6722
883,1100
884,9796
885,1439
886,9644
887,2233
888,8095
889,4317
890,691
891,7716
892,7065
893,5128
894,8605
895,691
896,5528
897,934
898,454
899,9984
900,8518
901,5015
902,7104
903,6722
904,4410
905,7335
906,9050
907,7537
908,4648
909,700
910,6211
911,687
912,9290
913,5663
914,2578
915,2110
916,8668
917,6805
918,5857
919,3907
920,3152
921,1293
922,3757
923,8205
924,9629
925,8180
926,8180
927,2654
928,4855
929,354
930,1275
931,2416
932,8312
933,802
934,1850
935,544
936,5899
937,4179
938,5546
939,6564
940,777
941,2761
942,1681
943,7684
944,5464
945,8605
946,9294
947,1614
948,1073
949,7181
950,1450
951,9904
952,5475
953,1222
954,7758
955,700
956,2153
957,8082
958,7646
959,5524
960,2368
961,7551
